"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","470n","Capacitor_SMD:C_0805_2012Metric",""
"2","C3, C4, C5, C8, C9, C11, C12, C15, C16, C19, C21, C22, C24, C25, C27, C28","16","100n","Capacitor_SMD:C_0805_2012Metric",""
"3","C6, C7, C20","3","1u","Capacitor_SMD:C_0805_2012Metric",""
"4","C10, C14","2","3300u","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm",""
"5","C13, C17","2","10u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"6","C18","1","2u2","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"7","C23, C26","2","10u","Capacitor_SMD:C_0805_2012Metric",""
"8","D1, D2, D3, D4, D5, D6, D7, D8","8","1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"9","FB1, FB2","2","100R @ 100MHz","Inductor_SMD:L_0805_2012Metric",""
"10","J1","1","AC_power_in","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical",""
"11","J2, J3, J4, J5","4","power_out","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"12","J6","1","filter_board_port","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",""
"13","J7","1","rate_pot","Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical",""
"14","J8","1","swd_header","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"15","R1, R4","2","100k","Resistor_SMD:R_0805_2012Metric",""
"16","R2, R5","2","33k","Resistor_SMD:R_0805_2012Metric",""
"17","R3, R6","2","6k8","Resistor_SMD:R_0805_2012Metric",""
"18","R7, R10, R11","3","10k","Resistor_SMD:R_0805_2012Metric",""
"19","R8","1","DNF","Resistor_SMD:R_0805_2012Metric",""
"20","R9","1","15k","Resistor_SMD:R_0805_2012Metric",""
"21","R12, R13","2","240","Resistor_SMD:R_0805_2012Metric",""
"22","RV1, RV2, RV3","3","10k","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"23","RV5, RV6","2","5k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"24","SW1","1","SW_SPDT_center_off","custom_footprints:SPDT_mini_toggle",""
"25","SW2","1","SR1712F-0203","custom_footprints:SR1712F_rotary_switch",""
"26","SW3","1","SW_SPDT","custom_footprints:SPDT_mini_toggle",""
"27","TP1","1","LFO_A","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"28","TP2","1","LFO_B","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"29","TP3","1","V+","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"30","TP4","1","3v3","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"31","TP5","1","GND","TestPoint:TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",""
"32","TP6","1","V-","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"33","U1","1","TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"34","U2","1","STM32L031F4Px","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm",""
"35","U3","1","MCP4822","Package_SO:TSSOP-8_3x3mm_P0.65mm",""
"36","U4","1","LM317_TO-220","Package_TO_SOT_THT:TO-220F-3_Horizontal_TabDown",""
"37","U5","1","L78L33_SOT89","Package_TO_SOT_SMD:SOT-89-3",""
"38","U6","1","LM337_TO220","Package_TO_SOT_THT:TO-220F-3_Horizontal_TabDown",""
